Filename,Actual_Class_ID,Actual_Class_Name,Predicted_Label,Predicted_Class_Name,Match
CID23_SID06_VID07.avi,22,PutDownDrill,22,PutDownDrill,✅
CID19_SID04_VID02.avi,18,NoCollaborativeWithPolisher,18,NoCollaborativeWithPolisher,✅
CID20_SID05_VID05.avi,19,PickUpDrill,19,PickUpDrill,✅
CID13_SID06_VID02.avi,12,MoveForwardWhilePolishing,12,MoveForwardWhilePolishing,✅
CID06_SID08_VID07.avi,5,MoveDiagonallyBackwardRightWithDrill,5,MoveDiagonallyBackwardRightWithDrill,✅
CID16_SID10_VID06.avi,15,MoveRightWhileDrilling,15,MoveRightWhileDrilling,✅
CID23_SID01_VID02.avi,22,PutDownDrill,22,PutDownDrill,✅
CID23_SID01_VID01.avi,22,PutDownDrill,22,PutDownDrill,✅
CID11_SID07_VID07.avi,10,MoveDiagonallyForwardRightWithPolisher,10,MoveDiagonallyForwardRightWithPolisher,✅
CID25_SID06_VID05.avi,24,UsingTheDrill,24,UsingTheDrill,✅
CID19_SID02_VID07.avi,18,NoCollaborativeWithPolisher,18,NoCollaborativeWithPolisher,✅
CID05_SID03_VID02.avi,4,MoveDiagonallyBackwardLeftWithPolisher,4,MoveDiagonallyBackwardLeftWithPolisher,✅
CID12_SID10_VID02.avi,11,MoveForwardWhileDrilling,11,MoveForwardWhileDrilling,✅
CID11_SID09_VID01.avi,10,MoveDiagonallyForwardRightWithPolisher,10,MoveDiagonallyForwardRightWithPolisher,✅
CID05_SID08_VID03.avi,4,MoveDiagonallyBackwardLeftWithPolisher,4,MoveDiagonallyBackwardLeftWithPolisher,✅
CID16_SID07_VID06.avi,15,MoveRightWhileDrilling,15,MoveRightWhileDrilling,✅
CID13_SID05_VID07.avi,12,MoveForwardWhilePolishing,12,MoveForwardWhilePolishing,✅
CID04_SID02_VID04.avi,3,MoveDiagonallyBackwardLeftWithDrill,3,MoveDiagonallyBackwardLeftWithDrill,✅
CID17_SID10_VID07.avi,16,MoveRightWhilePolishing,16,MoveRightWhilePolishing,✅
CID02_SID09_VID06.avi,1,MoveBackwardsWhileDrilling,1,MoveBackwardsWhileDrilling,✅
CID25_SID01_VID02.avi,24,UsingTheDrill,24,UsingTheDrill,✅
CID08_SID06_VID03.avi,7,MoveDiagonallyForwardLeftWithDrill,7,MoveDiagonallyForwardLeftWithDrill,✅
CID09_SID08_VID02.avi,8,MoveDiagonallyForwardLeftWithPolisher,8,MoveDiagonallyForwardLeftWithPolisher,✅
CID22_SID01_VID07.avi,21,PickUpTheObject,21,PickUpTheObject,✅
CID10_SID07_VID01.avi,9,MoveDiagonallyForwardRightWithDrill,9,MoveDiagonallyForwardRightWithDrill,✅
CID08_SID06_VID05.avi,7,MoveDiagonallyForwardLeftWithDrill,7,MoveDiagonallyForwardLeftWithDrill,✅
CID01_SID07_VID04.avi,0,DeliverObject,0,DeliverObject,✅
CID11_SID05_VID04.avi,10,MoveDiagonallyForwardRightWithPolisher,10,MoveDiagonallyForwardRightWithPolisher,✅
CID12_SID06_VID01.avi,11,MoveForwardWhileDrilling,11,MoveForwardWhileDrilling,✅
CID11_SID03_VID07.avi,10,MoveDiagonallyForwardRightWithPolisher,10,MoveDiagonallyForwardRightWithPolisher,✅
CID16_SID10_VID07.avi,15,MoveRightWhileDrilling,15,MoveRightWhileDrilling,✅
CID17_SID01_VID02.avi,16,MoveRightWhilePolishing,16,MoveRightWhilePolishing,✅
CID12_SID10_VID07.avi,11,MoveForwardWhileDrilling,11,MoveForwardWhileDrilling,✅
CID03_SID09_VID01.avi,2,MoveBackwardsWhilePolishing,2,MoveBackwardsWhilePolishing,✅
CID22_SID08_VID06.avi,21,PickUpTheObject,21,PickUpTheObject,✅
CID24_SID04_VID06.avi,23,PutDownPolisher,23,PutDownPolisher,✅
CID27_SID01_VID01.avi,26,Walking,26,Walking,✅
CID05_SID08_VID02.avi,4,MoveDiagonallyBackwardLeftWithPolisher,4,MoveDiagonallyBackwardLeftWithPolisher,✅
CID03_SID10_VID01.avi,2,MoveBackwardsWhilePolishing,2,MoveBackwardsWhilePolishing,✅
CID15_SID02_VID07.avi,14,MoveLeftWhilePolishing,14,MoveLeftWhilePolishing,✅
